chord,rootnote,octave,notes,midi_numbers,formula
7sus4,D,2,"D, G, A, C","26, 31, 33, 36","0, 5, 7, 10"
7b5,D,2,"D, F#, G#, C","26, 30, 32, 36","0, 4, 6, 10"
7#5,D,2,"D, F#, A#, C","26, 30, 34, 36","0, 4, 8, 10"
7b9,D,2,"D, F#, A, C, D#","26, 30, 33, 36, 39","0, 4, 7, 10, 13"
7#9,D,2,"D, F#, A, C, F","26, 30, 33, 36, 41","0, 4, 7, 10, 15"
hdim,D,2,"D, F, G#, C","26, 29, 32, 36","0, 3, 6, 10"
maj,D#,2,"D#, G, A#","27, 31, 34","0, 4, 7"
min,D#,2,"D#, F#, A#","27, 30, 34","0, 3, 7"
7,D#,2,"D#, G, A#, C#","27, 31, 34, 37","0, 4, 7, 10"
maj7,D#,2,"D#, G, A#, D","27, 31, 34, 38","0, 4, 7, 11"
min7,D#,2,"D#, F#, A#, C#","27, 30, 34, 37","0, 3, 7, 10"
minmaj7,D#,2,"D#, F#, A#, D","27, 30, 34, 38","0, 3, 7, 11"
dim,D#,2,"D#, F#, A","27, 30, 33","0, 3, 6"
aug,D#,2,"D#, G, B","27, 31, 35","0, 4, 8"
aug(b7),D#,2,"D#, G, B, D","27, 31, 35, 38","0, 4, 8, 11"
sus2,D#,2,"D#, F, A#","27, 29, 34","0, 2, 7"
sus4,D#,2,"D#, G#, A#","27, 32, 34","0, 5, 7"
#4,D#,2,"D#, A, A#","27, 33, 34","0, 6, 7"
9,D#,2,"D#, G, A#, C#, F","27, 31, 34, 37, 41","0, 4, 7, 10, 14"
11,D#,2,"D#, G, A#, C#, F, G#","27, 31, 34, 37, 41, 44","0, 4, 7, 10, 14, 17"
13,D#,2,"D#, G, A#, C#, F, G#, C","27, 31, 34, 37, 41, 44, 48","0, 4, 7, 10, 14, 17, 21"
min9,D#,2,"D#, F#, A#, C#, F","27, 30, 34, 37, 41","0, 3, 7, 10, 14"
min11,D#,2,"D#, F#, A#, C#, F, G#","27, 30, 34, 37, 41, 44","0, 3, 7, 10, 14, 17"
min13,D#,2,"D#, F#, A#, C#, F, G#, C","27, 30, 34, 37, 41, 44, 48","0, 3, 7, 10, 14, 17, 21"
maj6,D#,2,"D#, G, A#, C","27, 31, 34, 36","0, 4, 7, 9"
b6,D#,2,"D#, G, A#, B","27, 31, 34, 35","0, 4, 7, 8"
b3,D#,2,"D#, F, G, A#","27, 29, 31, 34","0, 2, 4, 7"
#9,D#,2,"D#, G, A#, F#","27, 31, 34, 42","0, 4, 7, 15"
dim7,D#,2,"D#, F#, A, C","27, 30, 33, 36","0, 3, 6, 9"
min6,D#,2,"D#, F#, A#, C","27, 30, 34, 36","0, 3, 7, 9"
maj9,D#,2,"D#, G, A#, D, F","27, 31, 34, 38, 41","0, 4, 7, 11, 14"
7sus2,D#,2,"D#, F, A#, C#","27, 29, 34, 37","0, 2, 7, 10"
7sus4,D#,2,"D#, G#, A#, C#","27, 32, 34, 37","0, 5, 7, 10"
7b5,D#,2,"D#, G, A, C#","27, 31, 33, 37","0, 4, 6, 10"
7#5,D#,2,"D#, G, B, C#","27, 31, 35, 37","0, 4, 8, 10"
7b9,D#,2,"D#, G, A#, C#, E","27, 31, 34, 37, 40","0, 4, 7, 10, 13"
7#9,D#,2,"D#, G, A#, C#, F#","27, 31, 34, 37, 42","0, 4, 7, 10, 15"
hdim,D#,2,"D#, F#, A, C#","27, 30, 33, 37","0, 3, 6, 10"
maj,E,2,"E, G#, B","28, 32, 35","0, 4, 7"
min,E,2,"E, G, B","28, 31, 35","0, 3, 7"
7,E,2,"E, G#, B, D","28, 32, 35, 38","0, 4, 7, 10"
maj7,E,2,"E, G#, B, D#","28, 32, 35, 39","0, 4, 7, 11"
min7,E,2,"E, G, B, D","28, 31, 35, 38","0, 3, 7, 10"
minmaj7,E,2,"E, G, B, D#","28, 31, 35, 39","0, 3, 7, 11"
dim,E,2,"E, G, A#","28, 31, 34","0, 3, 6"
aug,E,2,"E, G#, C","28, 32, 36","0, 4, 8"
aug(b7),E,2,"E, G#, C, D#","28, 32, 36, 39","0, 4, 8, 11"
sus2,E,2,"E, F#, B","28, 30, 35","0, 2, 7"
sus4,E,2,"E, A, B","28, 33, 35","0, 5, 7"
#4,E,2,"E, A#, B","28, 34, 35","0, 6, 7"
9,E,2,"E, G#, B, D, F#","28, 32, 35, 38, 42","0, 4, 7, 10, 14"
11,E,2,"E, G#, B, D, F#, A","28, 32, 35, 38, 42, 45","0, 4, 7, 10, 14, 17"
13,E,2,"E, G#, B, D, F#, A, C#","28, 32, 35, 38, 42, 45, 49","0, 4, 7, 10, 14, 17, 21"
min9,E,2,"E, G, B, D, F#","28, 31, 35, 38, 42","0, 3, 7, 10, 14"
min11,E,2,"E, G, B, D, F#, A","28, 31, 35, 38, 42, 45","0, 3, 7, 10, 14, 17"
min13,E,2,"E, G, B, D, F#, A, C#","28, 31, 35, 38, 42, 45, 49","0, 3, 7, 10, 14, 17, 21"
maj6,E,2,"E, G#, B, C#","28, 32, 35, 37","0, 4, 7, 9"
b6,E,2,"E, G#, B, C","28, 32, 35, 36","0, 4, 7, 8"
b3,E,2,"E, F#, G#, B","28, 30, 32, 35","0, 2, 4, 7"
#9,E,2,"E, G#, B, G","28, 32, 35, 43","0, 4, 7, 15"
dim7,E,2,"E, G, A#, C#","28, 31, 34, 37","0, 3, 6, 9"
min6,E,2,"E, G, B, C#","28, 31, 35, 37","0, 3, 7, 9"
maj9,E,2,"E, G#, B, D#, F#","28, 32, 35, 39, 42","0, 4, 7, 11, 14"
7sus2,E,2,"E, F#, B, D","28, 30, 35, 38","0, 2, 7, 10"
7sus4,E,2,"E, A, B, D","28, 33, 35, 38","0, 5, 7, 10"
7b5,E,2,"E, G#, A#, D","28, 32, 34, 38","0, 4, 6, 10"
7#5,E,2,"E, G#, C, D","28, 32, 36, 38","0, 4, 8, 10"
7b9,E,2,"E, G#, B, D, F","28, 32, 35, 38, 41","0, 4, 7, 10, 13"
7#9,E,2,"E, G#, B, D, G","28, 32, 35, 38, 43","0, 4, 7, 10, 15"
hdim,E,2,"E, G, A#, D","28, 31, 34, 38","0, 3, 6, 10"
maj,F,2,"F, A, C","29, 33, 36","0, 4, 7"
min,F,2,"F, G#, C","29, 32, 36","0, 3, 7"
7,F,2,"F, A, C, D#","29, 33, 36, 39","0, 4, 7, 10"
maj7,F,2,"F, A, C, E","29, 33, 36, 40","0, 4, 7, 11"
min7,F,2,"F, G#, C, D#","29, 32, 36, 39","0, 3, 7, 10"
minmaj7,F,2,"F, G#, C, E","29, 32, 36, 40","0, 3, 7, 11"
dim,F,2,"F, G#, B","29, 32, 35","0, 3, 6"
aug,F,2,"F, A, C#","29, 33, 37","0, 4, 8"
aug(b7),F,2,"F, A, C#, E","29, 33, 37, 40","0, 4, 8, 11"
sus2,F,2,"F, G, C","29, 31, 36","0, 2, 7"
sus4,F,2,"F, A#, C","29, 34, 36","0, 5, 7"
#4,F,2,"F, B, C","29, 35, 36","0, 6, 7"
9,F,2,"F, A, C, D#, G","29, 33, 36, 39, 43","0, 4, 7, 10, 14"
11,F,2,"F, A, C, D#, G, A#","29, 33, 36, 39, 43, 46","0, 4, 7, 10, 14, 17"
13,F,2,"F, A, C, D#, G, A#, D","29, 33, 36, 39, 43, 46, 50","0, 4, 7, 10, 14, 17, 21"
min9,F,2,"F, G#, C, D#, G","29, 32, 36, 39, 43","0, 3, 7, 10, 14"
min11,F,2,"F, G#, C, D#, G, A#","29, 32, 36, 39, 43, 46","0, 3, 7, 10, 14, 17"
min13,F,2,"F, G#, C, D#, G, A#, D","29, 32, 36, 39, 43, 46, 50","0, 3, 7, 10, 14, 17, 21"
maj6,F,2,"F, A, C, D","29, 33, 36, 38","0, 4, 7, 9"
b6,F,2,"F, A, C, C#","29, 33, 36, 37","0, 4, 7, 8"
b3,F,2,"F, G, A, C","29, 31, 33, 36","0, 2, 4, 7"
#9,F,2,"F, A, C, G#","29, 33, 36, 44","0, 4, 7, 15"
dim7,F,2,"F, G#, B, D","29, 32, 35, 38","0, 3, 6, 9"
min6,F,2,"F, G#, C, D","29, 32, 36, 38","0, 3, 7, 9"
maj9,F,2,"F, A, C, E, G","29, 33, 36, 40, 43","0, 4, 7, 11, 14"
7sus2,F,2,"F, G, C, D#","29, 31, 36, 39","0, 2, 7, 10"
7sus4,F,2,"F, A#, C, D#","29, 34, 36, 39","0, 5, 7, 10"
7b5,F,2,"F, A, B, D#","29, 33, 35, 39","0, 4, 6, 10"
7#5,F,2,"F, A, C#, D#","29, 33, 37, 39","0, 4, 8, 10"
7b9,F,2,"F, A, C, D#, F#","29, 33, 36, 39, 42","0, 4, 7, 10, 13"
7#9,F,2,"F, A, C, D#, G#","29, 33, 36, 39, 44","0, 4, 7, 10, 15"
hdim,F,2,"F, G#, B, D#","29, 32, 35, 39","0, 3, 6, 10"
maj,F#,2,"F#, A#, C#","30, 34, 37","0, 4, 7"
min,F#,2,"F#, A, C#","30, 33, 37","0, 3, 7"
7,F#,2,"F#, A#, C#, E","30, 34, 37, 40","0, 4, 7, 10"
maj7,F#,2,"F#, A#, C#, F","30, 34, 37, 41","0, 4, 7, 11"
min7,F#,2,"F#, A, C#, E","30, 33, 37, 40","0, 3, 7, 10"
minmaj7,F#,2,"F#, A, C#, F","30, 33, 37, 41","0, 3, 7, 11"
dim,F#,2,"F#, A, C","30, 33, 36","0, 3, 6"
aug,F#,2,"F#, A#, D","30, 34, 38","0, 4, 8"
aug(b7),F#,2,"F#, A#, D, F","30, 34, 38, 41","0, 4, 8, 11"
sus2,F#,2,"F#, G#, C#","30, 32, 37","0, 2, 7"
sus4,F#,2,"F#, B, C#","30, 35, 37","0, 5, 7"
#4,F#,2,"F#, C, C#","30, 36, 37","0, 6, 7"
9,F#,2,"F#, A#, C#, E, G#","30, 34, 37, 40, 44","0, 4, 7, 10, 14"
11,F#,2,"F#, A#, C#, E, G#, B","30, 34, 37, 40, 44, 47","0, 4, 7, 10, 14, 17"
13,F#,2,"F#, A#, C#, E, G#, B, D#","30, 34, 37, 40, 44, 47, 51","0, 4, 7, 10, 14, 17, 21"
min9,F#,2,"F#, A, C#, E, G#","30, 33, 37, 40, 44","0, 3, 7, 10, 14"
min11,F#,2,"F#, A, C#, E, G#, B","30, 33, 37, 40, 44, 47","0, 3, 7, 10, 14, 17"
min13,F#,2,"F#, A, C#, E, G#, B, D#","30, 33, 37, 40, 44, 47, 51","0, 3, 7, 10, 14, 17, 21"
maj6,F#,2,"F#, A#, C#, D#","30, 34, 37, 39","0, 4, 7, 9"
b6,F#,2,"F#, A#, C#, D","30, 34, 37, 38","0, 4, 7, 8"
b3,F#,2,"F#, G#, A#, C#","30, 32, 34, 37","0, 2, 4, 7"
#9,F#,2,"F#, A#, C#, A","30, 34, 37, 45","0, 4, 7, 15"
dim7,F#,2,"F#, A, C, D#","30, 33, 36, 39","0, 3, 6, 9"
min6,F#,2,"F#, A, C#, D#","30, 33, 37, 39","0, 3, 7, 9"
maj9,F#,2,"F#, A#, C#, F, G#","30, 34, 37, 41, 44","0, 4, 7, 11, 14"
7sus2,F#,2,"F#, G#, C#, E","30, 32, 37, 40","0, 2, 7, 10"
7sus4,F#,2,"F#, B, C#, E","30, 35, 37, 40","0, 5, 7, 10"
7b5,F#,2,"F#, A#, C, E","30, 34, 36, 40","0, 4, 6, 10"
7#5,F#,2,"F#, A#, D, E","30, 34, 38, 40","0, 4, 8, 10"
7b9,F#,2,"F#, A#, C#, E, G","30, 34, 37, 40, 43","0, 4, 7, 10, 13"
7#9,F#,2,"F#, A#, C#, E, A","30, 34, 37, 40, 45","0, 4, 7, 10, 15"
hdim,F#,2,"F#, A, C, E","30, 33, 36, 40","0, 3, 6, 10"
maj,G,2,"G, B, D","31, 35, 38","0, 4, 7"
min,G,2,"G, A#, D","31, 34, 38","0, 3, 7"
7,G,2,"G, B, D, F","31, 35, 38, 41","0, 4, 7, 10"
maj7,G,2,"G, B, D, F#","31, 35, 38, 42","0, 4, 7, 11"
min7,G,2,"G, A#, D, F","31, 34, 38, 41","0, 3, 7, 10"
minmaj7,G,2,"G, A#, D, F#","31, 34, 38, 42","0, 3, 7, 11"
dim,G,2,"G, A#, C#","31, 34, 37","0, 3, 6"
aug,G,2,"G, B, D#","31, 35, 39","0, 4, 8"
aug(b7),G,2,"G, B, D#, F#","31, 35, 39, 42","0, 4, 8, 11"
sus2,G,2,"G, A, D","31, 33, 38","0, 2, 7"
sus4,G,2,"G, C, D","31, 36, 38","0, 5, 7"
#4,G,2,"G, C#, D","31, 37, 38","0, 6, 7"
9,G,2,"G, B, D, F, A","31, 35, 38, 41, 45","0, 4, 7, 10, 14"
11,G,2,"G, B, D, F, A, C","31, 35, 38, 41, 45, 48","0, 4, 7, 10, 14, 17"
13,G,2,"G, B, D, F, A, C, E","31, 35, 38, 41, 45, 48, 52","0, 4, 7, 10, 14, 17, 21"
min9,G,2,"G, A#, D, F, A","31, 34, 38, 41, 45","0, 3, 7, 10, 14"
min11,G,2,"G, A#, D, F, A, C","31, 34, 38, 41, 45, 48","0, 3, 7, 10, 14, 17"
min13,G,2,"G, A#, D, F, A, C, E","31, 34, 38, 41, 45, 48, 52","0, 3, 7, 10, 14, 17, 21"
maj6,G,2,"G, B, D, E","31, 35, 38, 40","0, 4, 7, 9"
b6,G,2,"G, B, D, D#","31, 35, 38, 39","0, 4, 7, 8"
b3,G,2,"G, A, B, D","31, 33, 35, 38","0, 2, 4, 7"
#9,G,2,"G, B, D, A#","31, 35, 38, 46","0, 4, 7, 15"
dim7,G,2,"G, A#, C#, E","31, 34, 37, 40","0, 3, 6, 9"
min6,G,2,"G, A#, D, E","31, 34, 38, 40","0, 3, 7, 9"
maj9,G,2,"G, B, D, F#, A","31, 35, 38, 42, 45","0, 4, 7, 11, 14"
7sus2,G,2,"G, A, D, F","31, 33, 38, 41","0, 2, 7, 10"
7sus4,G,2,"G, C, D, F","31, 36, 38, 41","0, 5, 7, 10"
7b5,G,2,"G, B, C#, F","31, 35, 37, 41","0, 4, 6, 10"
7#5,G,2,"G, B, D#, F","31, 35, 39, 41","0, 4, 8, 10"
7b9,G,2,"G, B, D, F, G#","31, 35, 38, 41, 44","0, 4, 7, 10, 13"
7#9,G,2,"G, B, D, F, A#","31, 35, 38, 41, 46","0, 4, 7, 10, 15"
hdim,G,2,"G, A#, C#, F","31, 34, 37, 41","0, 3, 6, 10"
maj,G#,2,"G#, C, D#","32, 36, 39","0, 4, 7"
min,G#,2,"G#, B, D#","32, 35, 39","0, 3, 7"
7,G#,2,"G#, C, D#, F#","32, 36, 39, 42","0, 4, 7, 10"
maj7,G#,2,"G#, C, D#, G","32, 36, 39, 43","0, 4, 7, 11"
min7,G#,2,"G#, B, D#, F#","32, 35, 39, 42","0, 3, 7, 10"
minmaj7,G#,2,"G#, B, D#, G","32, 35, 39, 43","0, 3, 7, 11"
dim,G#,2,"G#, B, D","32, 35, 38","0, 3, 6"
aug,G#,2,"G#, C, E","32, 36, 40","0, 4, 8"
aug(b7),G#,2,"G#, C, E, G","32, 36, 40, 43","0, 4, 8, 11"
sus2,G#,2,"G#, A#, D#","32, 34, 39","0, 2, 7"
sus4,G#,2,"G#, C#, D#","32, 37, 39","0, 5, 7"
#4,G#,2,"G#, D, D#","32, 38, 39","0, 6, 7"
9,G#,2,"G#, C, D#, F#, A#","32, 36, 39, 42, 46","0, 4, 7, 10, 14"
11,G#,2,"G#, C, D#, F#, A#, C#","32, 36, 39, 42, 46, 49","0, 4, 7, 10, 14, 17"
13,G#,2,"G#, C, D#, F#, A#, C#, F","32, 36, 39, 42, 46, 49, 53","0, 4, 7, 10, 14, 17, 21"
min9,G#,2,"G#, B, D#, F#, A#","32, 35, 39, 42, 46","0, 3, 7, 10, 14"
min11,G#,2,"G#, B, D#, F#, A#, C#","32, 35, 39, 42, 46, 49","0, 3, 7, 10, 14, 17"
min13,G#,2,"G#, B, D#, F#, A#, C#, F","32, 35, 39, 42, 46, 49, 53","0, 3, 7, 10, 14, 17, 21"
maj6,G#,2,"G#, C, D#, F","32, 36, 39, 41","0, 4, 7, 9"
b6,G#,2,"G#, C, D#, E","32, 36, 39, 40","0, 4, 7, 8"
b3,G#,2,"G#, A#, C, D#","32, 34, 36, 39","0, 2, 4, 7"
#9,G#,2,"G#, C, D#, B","32, 36, 39, 47","0, 4, 7, 15"
dim7,G#,2,"G#, B, D, F","32, 35, 38, 41","0, 3, 6, 9"
min6,G#,2,"G#, B, D#, F","32, 35, 39, 41","0, 3, 7, 9"
maj9,G#,2,"G#, C, D#, G, A#","32, 36, 39, 43, 46","0, 4, 7, 11, 14"
7sus2,G#,2,"G#, A#, D#, F#","32, 34, 39, 42","0, 2, 7, 10"
7sus4,G#,2,"G#, C#, D#, F#","32, 37, 39, 42","0, 5, 7, 10"
7b5,G#,2,"G#, C, D, F#","32, 36, 38, 42","0, 4, 6, 10"
7#5,G#,2,"G#, C, E, F#","32, 36, 40, 42","0, 4, 8, 10"
7b9,G#,2,"G#, C, D#, F#, A","32, 36, 39, 42, 45","0, 4, 7, 10, 13"
7#9,G#,2,"G#, C, D#, F#, B","32, 36, 39, 42, 47","0, 4, 7, 10, 15"
hdim,G#,2,"G#, B, D, F#","32, 35, 38, 42","0, 3, 6, 10"
maj,A,2,"A, C#, E","33, 37, 40","0, 4, 7"
min,A,2,"A, C, E","33, 36, 40","0, 3, 7"
7,A,2,"A, C#, E, G","33, 37, 40, 43","0, 4, 7, 10"
maj7,A,2,"A, C#, E, G#","33, 37, 40, 44","0, 4, 7, 11"
min7,A,2,"A, C, E, G","33, 36, 40, 43","0, 3, 7, 10"
minmaj7,A,2,"A, C, E, G#","33, 36, 40, 44","0, 3, 7, 11"
dim,A,2,"A, C, D#","33, 36, 39","0, 3, 6"
aug,A,2,"A, C#, F","33, 37, 41","0, 4, 8"
aug(b7),A,2,"A, C#, F, G#","33, 37, 41, 44","0, 4, 8, 11"
sus2,A,2,"A, B, E","33, 35, 40","0, 2, 7"
sus4,A,2,"A, D, E","33, 38, 40","0, 5, 7"
#4,A,2,"A, D#, E","33, 39, 40","0, 6, 7"
9,A,2,"A, C#, E, G, B","33, 37, 40, 43, 47","0, 4, 7, 10, 14"
11,A,2,"A, C#, E, G, B, D","33, 37, 40, 43, 47, 50","0, 4, 7, 10, 14, 17"
13,A,2,"A, C#, E, G, B, D, F#","33, 37, 40, 43, 47, 50, 54","0, 4, 7, 10, 14, 17, 21"
min9,A,2,"A, C, E, G, B","33, 36, 40, 43, 47","0, 3, 7, 10, 14"
min11,A,2,"A, C, E, G, B, D","33, 36, 40, 43, 47, 50","0, 3, 7, 10, 14, 17"
min13,A,2,"A, C, E, G, B, D, F#","33, 36, 40, 43, 47, 50, 54","0, 3, 7, 10, 14, 17, 21"
maj6,A,2,"A, C#, E, F#","33, 37, 40, 42","0, 4, 7, 9"
b6,A,2,"A, C#, E, F","33, 37, 40, 41","0, 4, 7, 8"
b3,A,2,"A, B, C#, E","33, 35, 37, 40","0, 2, 4, 7"
#9,A,2,"A, C#, E, C","33, 37, 40, 48","0, 4, 7, 15"
dim7,A,2,"A, C, D#, F#","33, 36, 39, 42","0, 3, 6, 9"
min6,A,2,"A, C, E, F#","33, 36, 40, 42","0, 3, 7, 9"
maj9,A,2,"A, C#, E, G#, B","33, 37, 40, 44, 47","0, 4, 7, 11, 14"
7sus2,A,2,"A, B, E, G","33, 35, 40, 43","0, 2, 7, 10"
7sus4,A,2,"A, D, E, G","33, 38, 40, 43","0, 5, 7, 10"
7b5,A,2,"A, C#, D#, G","33, 37, 39, 43","0, 4, 6, 10"
7#5,A,2,"A, C#, F, G","33, 37, 41, 43","0, 4, 8, 10"
7b9,A,2,"A, C#, E, G, A#","33, 37, 40, 43, 46","0, 4, 7, 10, 13"
7#9,A,2,"A, C#, E, G, C","33, 37, 40, 43, 48","0, 4, 7, 10, 15"
hdim,A,2,"A, C, D#, G","33, 36, 39, 43","0, 3, 6, 10"
maj,A#,2,"A#, D, F","34, 38, 41","0, 4, 7"
min,A#,2,"A#, C#, F","34, 37, 41","0, 3, 7"
7,A#,2,"A#, D, F, G#","34, 38, 41, 44","0, 4, 7, 10"
maj7,A#,2,"A#, D, F, A","34, 38, 41, 45","0, 4, 7, 11"
min7,A#,2,"A#, C#, F, G#","34, 37, 41, 44","0, 3, 7, 10"
minmaj7,A#,2,"A#, C#, F, A","34, 37, 41, 45","0, 3, 7, 11"
dim,A#,2,"A#, C#, E","34, 37, 40","0, 3, 6"
aug,A#,2,"A#, D, F#","34, 38, 42","0, 4, 8"
aug(b7),A#,2,"A#, D, F#, A","34, 38, 42, 45","0, 4, 8, 11"
sus2,A#,2,"A#, C, F","34, 36, 41","0, 2, 7"
sus4,A#,2,"A#, D#, F","34, 39, 41","0, 5, 7"
#4,A#,2,"A#, E, F","34, 40, 41","0, 6, 7"
9,A#,2,"A#, D, F, G#, C","34, 38, 41, 44, 48","0, 4, 7, 10, 14"
11,A#,2,"A#, D, F, G#, C, D#","34, 38, 41, 44, 48, 51","0, 4, 7, 10, 14, 17"
13,A#,2,"A#, D, F, G#, C, D#, G","34, 38, 41, 44, 48, 51, 55","0, 4, 7, 10, 14, 17, 21"
min9,A#,2,"A#, C#, F, G#, C","34, 37, 41, 44, 48","0, 3, 7, 10, 14"
min11,A#,2,"A#, C#, F, G#, C, D#","34, 37, 41, 44, 48, 51","0, 3, 7, 10, 14, 17"
min13,A#,2,"A#, C#, F, G#, C, D#, G","34, 37, 41, 44, 48, 51, 55","0, 3, 7, 10, 14, 17, 21"
maj6,A#,2,"A#, D, F, G","34, 38, 41, 43","0, 4, 7, 9"
b6,A#,2,"A#, D, F, F#","34, 38, 41, 42","0, 4, 7, 8"
b3,A#,2,"A#, C, D, F","34, 36, 38, 41","0, 2, 4, 7"
#9,A#,2,"A#, D, F, C#","34, 38, 41, 49","0, 4, 7, 15"
dim7,A#,2,"A#, C#, E, G","34, 37, 40, 43","0, 3, 6, 9"
min6,A#,2,"A#, C#, F, G","34, 37, 41, 43","0, 3, 7, 9"
maj9,A#,2,"A#, D, F, A, C","34, 38, 41, 45, 48","0, 4, 7, 11, 14"
7sus2,A#,2,"A#, C, F, G#","34, 36, 41, 44","0, 2, 7, 10"
7sus4,A#,2,"A#, D#, F, G#","34, 39, 41, 44","0, 5, 7, 10"
7b5,A#,2,"A#, D, E, G#","34, 38, 40, 44","0, 4, 6, 10"
7#5,A#,2,"A#, D, F#, G#","34, 38, 42, 44","0, 4, 8, 10"
7b9,A#,2,"A#, D, F, G#, B","34, 38, 41, 44, 47","0, 4, 7, 10, 13"
7#9,A#,2,"A#, D, F, G#, C#","34, 38, 41, 44, 49","0, 4, 7, 10, 15"
hdim,A#,2,"A#, C#, E, G#","34, 37, 40, 44","0, 3, 6, 10"
maj,B,2,"B, D#, F#","35, 39, 42","0, 4, 7"
min,B,2,"B, D, F#","35, 38, 42","0, 3, 7"
7,B,2,"B, D#, F#, A","35, 39, 42, 45","0, 4, 7, 10"
maj7,B,2,"B, D#, F#, A#","35, 39, 42, 46","0, 4, 7, 11"
min7,B,2,"B, D, F#, A","35, 38, 42, 45","0, 3, 7, 10"
minmaj7,B,2,"B, D, F#, A#","35, 38, 42, 46","0, 3, 7, 11"
dim,B,2,"B, D, F","35, 38, 41","0, 3, 6"
aug,B,2,"B, D#, G","35, 39, 43","0, 4, 8"
aug(b7),B,2,"B, D#, G, A#","35, 39, 43, 46","0, 4, 8, 11"
sus2,B,2,"B, C#, F#","35, 37, 42","0, 2, 7"
sus4,B,2,"B, E, F#","35, 40, 42","0, 5, 7"
#4,B,2,"B, F, F#","35, 41, 42","0, 6, 7"
9,B,2,"B, D#, F#, A, C#","35, 39, 42, 45, 49","0, 4, 7, 10, 14"
11,B,2,"B, D#, F#, A, C#, E","35, 39, 42, 45, 49, 52","0, 4, 7, 10, 14, 17"
13,B,2,"B, D#, F#, A, C#, E, G#","35, 39, 42, 45, 49, 52, 56","0, 4, 7, 10, 14, 17, 21"
min9,B,2,"B, D, F#, A, C#","35, 38, 42, 45, 49","0, 3, 7, 10, 14"
min11,B,2,"B, D, F#, A, C#, E","35, 38, 42, 45, 49, 52","0, 3, 7, 10, 14, 17"
min13,B,2,"B, D, F#, A, C#, E, G#","35, 38, 42, 45, 49, 52, 56","0, 3, 7, 10, 14, 17, 21"
maj6,B,2,"B, D#, F#, G#","35, 39, 42, 44","0, 4, 7, 9"
b6,B,2,"B, D#, F#, G","35, 39, 42, 43","0, 4, 7, 8"
b3,B,2,"B, C#, D#, F#","35, 37, 39, 42","0, 2, 4, 7"
#9,B,2,"B, D#, F#, D","35, 39, 42, 50","0, 4, 7, 15"
dim7,B,2,"B, D, F, G#","35, 38, 41, 44","0, 3, 6, 9"
min6,B,2,"B, D, F#, G#","35, 38, 42, 44","0, 3, 7, 9"
maj9,B,2,"B, D#, F#, A#, C#","35, 39, 42, 46, 49","0, 4, 7, 11, 14"
7sus2,B,2,"B, C#, F#, A","35, 37, 42, 45","0, 2, 7, 10"
7sus4,B,2,"B, E, F#, A","35, 40, 42, 45","0, 5, 7, 10"
7b5,B,2,"B, D#, F, A","35, 39, 41, 45","0, 4, 6, 10"
7#5,B,2,"B, D#, G, A","35, 39, 43, 45","0, 4, 8, 10"
7b9,B,2,"B, D#, F#, A, C","35, 39, 42, 45, 48","0, 4, 7, 10, 13"
7#9,B,2,"B, D#, F#, A, D","35, 39, 42, 45, 50","0, 4, 7, 10, 15"
hdim,B,2,"B, D, F, A","35, 38, 41, 45","0, 3, 6, 10"
maj,C,3,"C, E, G","36, 40, 43","0, 4, 7"
min,C,3,"C, D#, G","36, 39, 43","0, 3, 7"
7,C,3,"C, E, G, A#","36, 40, 43, 46","0, 4, 7, 10"
maj7,C,3,"C, E, G, B","36, 40, 43, 47","0, 4, 7, 11"
min7,C,3,"C, D#, G, A#","36, 39, 43, 46","0, 3, 7, 10"
minmaj7,C,3,"C, D#, G, B","36, 39, 43, 47","0, 3, 7, 11"
dim,C,3,"C, D#, F#","36, 39, 42","0, 3, 6"
aug,C,3,"C, E, G#","36, 40, 44","0, 4, 8"
aug(b7),C,3,"C, E, G#, B","36, 40, 44, 47","0, 4, 8, 11"
sus2,C,3,"C, D, G","36, 38, 43","0, 2, 7"
sus4,C,3,"C, F, G","36, 41, 43","0, 5, 7"
#4,C,3,"C, F#, G","36, 42, 43","0, 6, 7"
9,C,3,"C, E, G, A#, D","36, 40, 43, 46, 50","0, 4, 7, 10, 14"
11,C,3,"C, E, G, A#, D, F","36, 40, 43, 46, 50, 53","0, 4, 7, 10, 14, 17"
13,C,3,"C, E, G, A#, D, F, A","36, 40, 43, 46, 50, 53, 57","0, 4, 7, 10, 14, 17, 21"
min9,C,3,"C, D#, G, A#, D","36, 39, 43, 46, 50","0, 3, 7, 10, 14"
min11,C,3,"C, D#, G, A#, D, F","36, 39, 43, 46, 50, 53","0, 3, 7, 10, 14, 17"
min13,C,3,"C, D#, G, A#, D, F, A","36, 39, 43, 46, 50, 53, 57","0, 3, 7, 10, 14, 17, 21"
maj6,C,3,"C, E, G, A","36, 40, 43, 45","0, 4, 7, 9"
b6,C,3,"C, E, G, G#","36, 40, 43, 44","0, 4, 7, 8"
b3,C,3,"C, D, E, G","36, 38, 40, 43","0, 2, 4, 7"
#9,C,3,"C, E, G, D#","36, 40, 43, 51","0, 4, 7, 15"
dim7,C,3,"C, D#, F#, A","36, 39, 42, 45","0, 3, 6, 9"
min6,C,3,"C, D#, G, A","36, 39, 43, 45","0, 3, 7, 9"
maj9,C,3,"C, E, G, B, D","36, 40, 43, 47, 50","0, 4, 7, 11, 14"
7sus2,C,3,"C, D, G, A#","36, 38, 43, 46","0, 2, 7, 10"
